date,time,senderName,areaDesc,headline,event,category,description,instruction,msgType,urgency,severity,scope,sender,cogId,id
2024-09-23,06:53:20,Waukesha County,"Muskego, WI",NA,Shelter in Place Warning,,NA,NA,Alert,Immediate,Extreme,Public,pjacobs@waukeshacounty.gov,200718,79b06869-8c76-466d-8357-582c126b2cdd
2024-09-23,07:41:43,NA,Muskego,NA,NA,,NA,NA,Cancel,NA,NA,Public,kmiswald@waukeshacounty.gov,200718,4119281a-d5f2-4f24-8aef-b6d7b8713402
2024-09-23,07:48:53,Waukesha County,All Georgia,NA,Law Enforcement Warning,,NA,NA,Alert,Immediate,Extreme,Public,kmiswald@waukeshacounty.gov,200718,d3b40cb2-830e-4ece-93de-f877464495fe
2024-09-23,10:45:15,GA Jackson County,Idaho and surrounding area,NA,Hazardous Materials Warning,,NA,NA,Alert,Immediate,Extreme,Public,bbullock@jacksoncountygov.com,201878,140ad9e6-3216-4fd0-aa6f-849a114219dd
2024-09-23,11:41:11,Sedgwick County,"Alabama, Arkansas, Iowa, Illinois, Kansas, Louisiana, Minnesota, Mississippi, Missouri, North Dakota, Nebraska, Oklahoma, South Dakota, Tennessee, Texas, Wisconsin",Sedgwick County testing outdoor warning devices,Administrative Message,,"Sedgwick County Emergency Management will be testing the Outdoor Warning Sirens at Noon Today. Sedgwick County outdoor warning sirens are tested every Monday at Noon, except Holidays and when threatening weather is present. Today we will be testing the Alert mode, for one minute. The Alert Mode is a steady tone used for Tornado warning, The Attack Mode is a classic rise and fall sound used for Air Attack Warning in times of war. Outdoor warning sirens are designed to be an early warning device primarily for persons who are outside away from the television and or radio. Remember, when the outdoor warning sirens sound, Take cover, Tune in to local media, Take action.","Emergency Management officials highly recommend citizens keep a NOAA weather radio in their homes, preferably in the bedroom, with a tone alert for those times when you are not monitoring public media. This broadcast originates from Sedgwick County Emergency Management located at seven fourteen North Main, Wichita Kansas. WPMQ three ninety one. No action required test only.",Alert,Unknown,Unknown,Public,kenji.brooks@sedgwick.gov,200029,f6fe85fc-4f0b-467f-984c-54ebe503f40e
2024-09-23,14:26:35,ALMobileCountyEmergencyManagementAgency,N SR 101 AND HURSHTOWN RD,NA,Event Box,,Description Box,"Established in 1952 in response to Federal, State, and local guidelines, the Mobile County Commission passed a resolution on June 8, 1987, that made the Mobile County Emergency Management Agency (MCEMA) the office of government to act for the emergency planning district in Mobile County.",Alert,Immediate,Extreme,Public,ALMobileCountyEmergencyManagementAgency,200015,5a2bac46-5998-4da0-8a3a-5d7276bee011
2024-09-23,14:50:52,IN_City_of_Fort_Wayne,Alaska,NA,Law Enforcement Warning,,,NA,Alert,Immediate,Severe,Public,IN_City_of_Fort_Wayne,201031,f067bd87-a5c9-4ce0-ac8c-90691deaec79
2024-09-23,15:06:27,ALMobileCountyCommunicationsDistrict,New Hampshire,NA,Local Area Emergency,,Major accident in the area of Moffett Rd and I-65. Seek alternate route until further notice. From Mobile Police Department - Traffic Safety Unit ,NA,Alert,Immediate,Severe,Public,ALMobileCountyCommunicationsDistrict,201760,5d36cf3f-33c6-47be-b20d-3a457260b12d
2024-09-23,15:26:17,Public Alert System,Hawaii,New Hampshire Emergency Alert System Test,Demo Warning,,The New Hampshire State Police has activated the New Hampshire Emergency Alert System in order to conduct a practice demo.  This concludes this test of the New Hampshire Emergency Alert System.,No action required.,Alert,Unknown,Unknown,Public,sara.a.becotte@dos.nh.gov,200119,61b67b73-9a32-4cf2-a9db-1b91134c4ba1
2024-09-23,17:09:09,NA,FLORIDA-ALL,NA,NA,,NA,NA,Cancel,NA,NA,Public,ALMobileCountyCommunicationsDistrict,201760,a12ceb18-1c77-4c47-a6ab-7ccf61df4402
