state,county,est_deaths
FL,Pinellas,11
FL,Hillsborough,2
FL,Dixie,1
FL,Charlotte,1
GA,McDuffie,3
GA,Washington,2
GA,Laurens,1
GA,Pierce,1
GA,Liberty,1
NC,Buncombe,23
NC,Yancey,8
NC,Henderson,6
NC,Avery,3
NC,Cleveland,2
NC,Watauga,2
NC,Gaston,1
NC,Burke,1
NC,Ashe,1
NC,Macon,1
NC,Rutherford,1
NC,Madison,1
NC,Yadkin,1
NC,Mecklenberg,1
NC,Catawba,1
NC,Polk,1
SC,Aiken,6
SC,Anderson,4
SC,Chesterfield,1
SC,Chester,2
SC,Greenville,6
SC,Greenwood,1
SC,Newberry,2
SC,Saluda,4
SC,Spartanburg,6
SC,York,1
SC,UNKCounty,3
TN,Johnson,1
TN,Unicoi,3
TN,Cocke,2
TN,Knox,1
TN,Washington,1
TN,Greene,1
VA,Craig,1
